,VALUATION AVG,FUNDING FROM EARLY STAGES > 2M,IS_MARKETING_INDUSTRY,IS_HEALTH_INDUSTRY,IS_ENTERPRISE SOFTWARE_INDUSTRY,IS_FINTECH_INDUSTRY,IS_FOOD_INDUSTRY,IS_ENERGY_INDUSTRY,IS_HOME LIVING_INDUSTRY,IS_TRANSPORTATION_INDUSTRY,IS_MEDIA_INDUSTRY,REVENUE MODEL MARKETPLACE & ECOMMERCE,REVENUE MODEL MANUFACTURING,REVENUE MODEL SAAS,HQ STOCKHOLM,HQ OSLO,HQ HELSINKI,HQ COPENHAGEN
VALUATION AVG,1.0,0.40655195662970167,-0.11084239855453366,0.06710776479471008,0.002252360809883725,0.050459376424859974,0.030622649487932665,0.044242107609221315,-0.010155363786791485,0.03217992932140011,-0.030811741855939434,-0.024710395781923026,0.08015631305572332,-0.048918219362549774,0.15655301327947962,0.06956569731692629,-0.2084908155123635,-0.06339973809524625
FUNDING FROM EARLY STAGES > 2M,0.40655195662970167,1.0,-0.06949730571780366,0.05444691698889675,0.05167783907744217,0.06780446480025762,-0.031087849924885877,0.05299034732959795,-0.01304512455897359,0.0045475231898895515,-0.056411691201084704,-0.02933397714255187,0.04184340875170876,0.0034637889260846154,0.07456590622542383,-0.013922599369348356,-0.014183387111611651,-0.03249105267151469
IS_MARKETING_INDUSTRY,-0.11084239855453366,-0.06949730571780366,1.0,-0.11936057957171817,0.019780284442361084,-0.022167616817948467,-0.04474244693304963,-0.08852719266996181,-0.06478966910951338,-0.05562696445068511,0.08388542196148636,0.0018241100850592583,-0.17387075427760865,0.15413483408912682,-0.022299743568090166,-0.03945567224129838,0.0941562330538753,0.06504558719732807
IS_HEALTH_INDUSTRY,0.06710776479471008,0.05444691698889675,-0.11936057957171817,1.0,-0.14483195174041605,-0.12489792676245359,-0.06188584761298327,-0.12688258662257204,-0.05278494509128543,-0.09350326061671158,-0.10844500682774173,-0.10561307441610403,0.2752983165196034,-0.1858221811365569,-0.06549538530744355,-0.047323148807525264,-0.031533019306644886,-0.03865075396305382
IS_ENTERPRISE SOFTWARE_INDUSTRY,0.002252360809883725,0.05167783907744217,0.019780284442361084,-0.14483195174041605,1.0,-0.00018557507330620472,-0.1241170145263797,-0.14396302368535902,-0.11147458701215714,-0.08060931260196089,-0.02496152994846905,-0.22502715996767025,-0.3242288985923103,0.497039166469112,0.05471198929479465,-0.011857033361461525,0.05451298992917201,0.07056979840700335
IS_FINTECH_INDUSTRY,0.050459376424859974,0.06780446480025762,-0.022167616817948467,-0.12489792676245359,-0.00018557507330620472,1.0,-0.08046691321271711,-0.09263412481953441,-0.06779537579692668,-0.05921634891126343,-0.07015195813889304,0.007540040604872527,-0.17777305160720622,0.1403300144533607,0.07220884810334427,0.07412051287214537,-0.0333016490717063,0.03709145550788595
IS_FOOD_INDUSTRY,0.030622649487932665,-0.031087849924885877,-0.04474244693304963,-0.06188584761298327,-0.1241170145263797,-0.08046691321271711,1.0,0.030732478854171186,-0.037566824172183384,-0.04128484816998705,-0.0748663101604278,0.1089775447721625,0.08361788231550688,-0.14654766935541869,-0.001922000123561621,-0.015301516162236009,-0.04417173957511626,-0.004465772085591585
IS_ENERGY_INDUSTRY,0.044242107609221315,0.05299034732959795,-0.08852719266996181,-0.12688258662257204,-0.14396302368535902,-0.09263412481953441,0.030732478854171186,1.0,-0.004630507542610092,0.07687583781757251,-0.08618666782762835,-0.1310499571815181,0.31312096301537734,-0.1776661295550109,-0.04665008146421161,-0.034228176118477206,-0.031870989079694136,-0.052675859280641286
IS_HOME LIVING_INDUSTRY,-0.010155363786791485,-0.01304512455897359,-0.06478966910951338,-0.05278494509128543,-0.11147458701215714,-0.06779537579692668,-0.037566824172183384,-0.004630507542610092,1.0,-0.055468380671635245,-0.05032177629821187,0.1515460370369704,0.03135896029194035,-0.15375265166193827,0.060822112606958814,0.01960525149401791,-0.04472755823702589,-0.020468800259814648
IS_TRANSPORTATION_INDUSTRY,0.03217992932140011,0.0045475231898895515,-0.05562696445068511,-0.09350326061671158,-0.08060931260196089,-0.05921634891126343,-0.04128484816998705,0.07687583781757251,-0.055468380671635245,1.0,-0.053560372551891486,0.024260820974104393,0.017407462050409,-0.04182061492865192,-0.018729598767701236,0.04885491852543831,-0.06868824924163705,-0.015257473537170255
IS_MEDIA_INDUSTRY,-0.030811741855939434,-0.056411691201084704,0.08388542196148636,-0.10844500682774173,-0.02496152994846905,-0.07015195813889304,-0.0748663101604278,-0.08618666782762835,-0.05032177629821187,-0.053560372551891486,1.0,0.01613382361295412,-0.12639704167220853,0.09915234728521125,0.0047387244425743415,0.03736294871121327,0.028869098534011085,-0.023363039226726504
REVENUE MODEL MARKETPLACE & ECOMMERCE,-0.024710395781923026,-0.02933397714255187,0.0018241100850592583,-0.10561307441610403,-0.22502715996767025,0.007540040604872527,0.1089775447721625,-0.1310499571815181,0.1515460370369704,0.024260820974104393,0.01613382361295412,1.0,-0.3109405991816075,-0.46190608902368346,0.1220737187908834,0.008663465195964767,0.007637819373598419,-0.024667055978692398
REVENUE MODEL MANUFACTURING,0.08015631305572332,0.04184340875170876,-0.17387075427760865,0.2752983165196034,-0.3242288985923103,-0.17777305160720622,0.08361788231550688,0.31312096301537734,0.03135896029194035,0.017407462050409,-0.12639704167220853,-0.3109405991816075,1.0,-0.6021624908412744,-0.15463448989885764,-0.07443577789476537,-0.09847070921630685,-0.0832765437003723
REVENUE MODEL SAAS,-0.048918219362549774,0.0034637889260846154,0.15413483408912682,-0.1858221811365569,0.497039166469112,0.1403300144533607,-0.14654766935541869,-0.1776661295550109,-0.15375265166193827,-0.04182061492865192,0.09915234728521125,-0.46190608902368346,-0.6021624908412744,1.0,0.031211977150571682,0.06560459772910031,0.09511539476537255,0.09939373591723585
HQ STOCKHOLM,0.15655301327947962,0.07456590622542383,-0.022299743568090166,-0.06549538530744355,0.05471198929479465,0.07220884810334427,-0.001922000123561621,-0.04665008146421161,0.060822112606958814,-0.018729598767701236,0.0047387244425743415,0.1220737187908834,-0.15463448989885764,0.031211977150571682,1.0,-0.15566121995785803,-0.21633636503371906,-0.1774830551813934
HQ OSLO,0.06956569731692629,-0.013922599369348356,-0.03945567224129838,-0.047323148807525264,-0.011857033361461525,0.07412051287214537,-0.015301516162236009,-0.034228176118477206,0.01960525149401791,0.04885491852543831,0.03736294871121327,0.008663465195964767,-0.07443577789476537,0.06560459772910031,-0.15566121995785803,1.0,-0.11439038556283054,-0.09384624314041845
HQ HELSINKI,-0.2084908155123635,-0.014183387111611651,0.0941562330538753,-0.031533019306644886,0.05451298992917201,-0.0333016490717063,-0.04417173957511626,-0.031870989079694136,-0.04472755823702589,-0.06868824924163705,0.028869098534011085,0.007637819373598419,-0.09847070921630685,0.09511539476537255,-0.21633636503371906,-0.11439038556283054,1.0,-0.13042654502235784
HQ COPENHAGEN,-0.06339973809524625,-0.03249105267151469,0.06504558719732807,-0.03865075396305382,0.07056979840700335,0.03709145550788595,-0.004465772085591585,-0.052675859280641286,-0.020468800259814648,-0.015257473537170255,-0.023363039226726504,-0.024667055978692398,-0.0832765437003723,0.09939373591723585,-0.1774830551813934,-0.09384624314041845,-0.13042654502235784,1.0
